Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C7, C8",0603,3,10uF,C19702
"C10, C9",0603,2,33p,C1663
"C11, C12, C13, C14, C15, C16, C17, C18, C19, C20",0402,10,100n,C307331
C2,0603,1,22uF,C59461
C3,0603,1,0.22uF,C21120
C4,0603,1,0.1uF,C14663
C5,0603,1,4.7uF,C19666
C6,0603,1,1uF,C15849
D1,LED0603-RD_GREEN,1,LED,C510026
D2,SOD-323_L1.8-W1.3-LS2.5-RD,1,NSR0320MW2T1G,C48192
J1,PinSocket_1x06_P2.54mm_Horizontal,1,MB10XX Sonar,
J2,USB-C-SMD_TYPE-C-16P-1,1,USB_C_Receptacle_USB2.0,C2982555
JP2,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,SolderJumper_2_Open,
L1,IND-SMD_L3.0-W3.0_VLS3010ET,1,3.3μH,C136236
Q2,AO3400A,1,AO3400A,C20917
"R1, R2",0603,2,10KΩ,C25804
"R10, R11",0402,2,27.4,C274349
R12,0603,1,470,C23179
"R3, R4",0402,2,5.1K,C25905
R5,0603,1,100KΩ,C25803
R6,0603,1,20KΩ,C4184
"R7, R8, R9",0603,3,1K,C21190
"SW1, SW2",Tactile Switch_SMD,2,Tactile,C294566
"SW4, SW5",KEY-SMD_4P-L4.2-W3.2,2,SKRPABE010,C115360
U1,RP2040-QFN-56,1,RP2040,C2040
U2,SOP-8-208mil,1,W25Q128JVSIQ,
U3,WSON-6_L2.0-W2.0-P0.65-BL-EP,1,TPS61291DRVR,C464809
U4,SOT-223-3_L6.5-W3.4,1,AMS1117-3.3,C6186
U5,LGA-16_L3.0-W3.0-P0.50-BL_SQ,1,QMC5883L(0x0D),C976032
U6,WSOF-6_L2.6-W1.6-P0.50-TL-EP,1,BH1750FVI(0x23),C78960
Y1,OSC-SMD_4P-L3.2-W2.5,1,TAXM12M4RLBDDT2T,
